Lineage,Min_Daily_Growth_Rate,Mean_Daily_Growth_Rate,Max_Daily_Growth_Rate
Atrichoblast,1.248330549,1.833352006,3.52636502
Columella,1.225828923,1.334648734,1.42683698
Cortex,1.240811572,1.90420257,2.865898155
Endodermis,1.221337173,2.035235136,4.475851472
Lateral Root Cap,1.248330549,1.833352006,3.52636502
Pericycle,1.250941917,2.310412127,5.278031643
Phloem,1.250941917,2.310412127,5.278031643
Procambium,1.250941917,2.310412127,5.278031643
Quiescent Center,1.166362832,1.166362832,1.166362832
Putative Quiescent Center,1.166362832,1.166362832,1.166362832
Stem Cell Niche,1.166362832,1.166362832,1.166362832
Trichoblast,1.248330549,1.833352006,3.52636502
Xylem,1.250941917,2.310412127,5.278031643
